K,n_experiment,delta,instance_type,env,agent,success_rate,reward_array,mean_stop_times,std_stop_times,delta_k_,beta_k_,alpha_k_,forced-stop,count_exceed_stop,count_success
200,1000,0.001,Linear,Environment_Gaussian,SEE_recycle,1.0,"[0.35       0.35150754 0.35301508 0.35452261 0.35603015 0.35753769
 0.35904523 0.36055276 0.3620603  0.36356784 0.36507538 0.36658291
 0.36809045 0.36959799 0.37110553 0.37261307 0.3741206  0.37562814
 0.37713568 0.37864322 0.38015075 0.38165829 0.38316583 0.38467337
 0.3861809  0.38768844 0.38919598 0.39070352 0.39221106 0.39371859
 0.39522613 0.39673367 0.39824121 0.39974874 0.40125628 0.40276382
 0.40427136 0.40577889 0.40728643 0.40879397 0.41030151 0.41180905
 0.41331658 0.41482412 0.41633166 0.4178392  0.41934673 0.42085427
 0.42236181 0.42386935 0.42537688 0.42688442 0.42839196 0.4298995
 0.43140704 0.43291457 0.43442211 0.43592965 0.43743719 0.43894472
 0.44045226 0.4419598  0.44346734 0.44497487 0.44648241 0.44798995
 0.44949749 0.45100503 0.45251256 0.4540201  0.45552764 0.45703518
 0.45854271 0.46005025 0.46155779 0.46306533 0.46457286 0.4660804
 0.46758794 0.46909548 0.47060302 0.47211055 0.47361809 0.47512563
 0.47663317 0.4781407  0.47964824 0.48115578 0.48266332 0.48417085
 0.48567839 0.48718593 0.48869347 0.49020101 0.49170854 0.49321608
 0.49472362 0.49623116 0.49773869 0.49924623 0.50075377 0.50226131
 0.50376884 0.50527638 0.50678392 0.50829146 0.50979899 0.51130653
 0.51281407 0.51432161 0.51582915 0.51733668 0.51884422 0.52035176
 0.5218593  0.52336683 0.52487437 0.52638191 0.52788945 0.52939698
 0.53090452 0.53241206 0.5339196  0.53542714 0.53693467 0.53844221
 0.53994975 0.54145729 0.54296482 0.54447236 0.5459799  0.54748744
 0.54899497 0.55050251 0.55201005 0.55351759 0.55502513 0.55653266
 0.5580402  0.55954774 0.56105528 0.56256281 0.56407035 0.56557789
 0.56708543 0.56859296 0.5701005  0.57160804 0.57311558 0.57462312
 0.57613065 0.57763819 0.57914573 0.58065327 0.5821608  0.58366834
 0.58517588 0.58668342 0.58819095 0.58969849 0.59120603 0.59271357
 0.59422111 0.59572864 0.59723618 0.59874372 0.60025126 0.60175879
 0.60326633 0.60477387 0.60628141 0.60778894 0.60929648 0.61080402
 0.61231156 0.6138191  0.61532663 0.61683417 0.61834171 0.61984925
 0.62135678 0.62286432 0.62437186 0.6258794  0.62738693 0.62889447
 0.63040201 0.63190955 0.63341709 0.63492462 0.63643216 0.6379397
 0.63944724 0.64095477 0.64246231 0.64396985 0.64547739 0.64698492
 0.64849246 0.65      ]",31947.553,378.69298729867046,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
200,1000,0.001,Unique_Qualified,Environment_Gaussian,SEE_recycle,1.0,"[0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.65]",64729.286,826.9948402004719,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
200,1000,0.001,OneQuarter_Qualified,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5 ]",22713.479,285.4671414568742,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
200,1000,0.001,AllWorse,Environment_Gaussian,SEE_recycle,1.0,"[0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25]",146704.098,104.11037052280622,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
200,1000,0.001,AllGood,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65]",18980.497,301.32178457255793,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
200,1000,0.001,HalfGood,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5 ]",20958.15,293.6891462099,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
200,1000,0.0001,Linear,Environment_Gaussian,SEE_recycle,1.0,"[0.35       0.35150754 0.35301508 0.35452261 0.35603015 0.35753769
 0.35904523 0.36055276 0.3620603  0.36356784 0.36507538 0.36658291
 0.36809045 0.36959799 0.37110553 0.37261307 0.3741206  0.37562814
 0.37713568 0.37864322 0.38015075 0.38165829 0.38316583 0.38467337
 0.3861809  0.38768844 0.38919598 0.39070352 0.39221106 0.39371859
 0.39522613 0.39673367 0.39824121 0.39974874 0.40125628 0.40276382
 0.40427136 0.40577889 0.40728643 0.40879397 0.41030151 0.41180905
 0.41331658 0.41482412 0.41633166 0.4178392  0.41934673 0.42085427
 0.42236181 0.42386935 0.42537688 0.42688442 0.42839196 0.4298995
 0.43140704 0.43291457 0.43442211 0.43592965 0.43743719 0.43894472
 0.44045226 0.4419598  0.44346734 0.44497487 0.44648241 0.44798995
 0.44949749 0.45100503 0.45251256 0.4540201  0.45552764 0.45703518
 0.45854271 0.46005025 0.46155779 0.46306533 0.46457286 0.4660804
 0.46758794 0.46909548 0.47060302 0.47211055 0.47361809 0.47512563
 0.47663317 0.4781407  0.47964824 0.48115578 0.48266332 0.48417085
 0.48567839 0.48718593 0.48869347 0.49020101 0.49170854 0.49321608
 0.49472362 0.49623116 0.49773869 0.49924623 0.50075377 0.50226131
 0.50376884 0.50527638 0.50678392 0.50829146 0.50979899 0.51130653
 0.51281407 0.51432161 0.51582915 0.51733668 0.51884422 0.52035176
 0.5218593  0.52336683 0.52487437 0.52638191 0.52788945 0.52939698
 0.53090452 0.53241206 0.5339196  0.53542714 0.53693467 0.53844221
 0.53994975 0.54145729 0.54296482 0.54447236 0.5459799  0.54748744
 0.54899497 0.55050251 0.55201005 0.55351759 0.55502513 0.55653266
 0.5580402  0.55954774 0.56105528 0.56256281 0.56407035 0.56557789
 0.56708543 0.56859296 0.5701005  0.57160804 0.57311558 0.57462312
 0.57613065 0.57763819 0.57914573 0.58065327 0.5821608  0.58366834
 0.58517588 0.58668342 0.58819095 0.58969849 0.59120603 0.59271357
 0.59422111 0.59572864 0.59723618 0.59874372 0.60025126 0.60175879
 0.60326633 0.60477387 0.60628141 0.60778894 0.60929648 0.61080402
 0.61231156 0.6138191  0.61532663 0.61683417 0.61834171 0.61984925
 0.62135678 0.62286432 0.62437186 0.6258794  0.62738693 0.62889447
 0.63040201 0.63190955 0.63341709 0.63492462 0.63643216 0.6379397
 0.63944724 0.64095477 0.64246231 0.64396985 0.64547739 0.64698492
 0.64849246 0.65      ]",32309.801,378.3273467585961,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
200,1000,0.0001,Unique_Qualified,Environment_Gaussian,SEE_recycle,1.0,"[0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.65]",64960.925,824.4452228458692,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
200,1000,0.0001,OneQuarter_Qualified,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5 ]",23019.463,287.6901101647935,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
200,1000,0.0001,AllWorse,Environment_Gaussian,SEE_recycle,1.0,"[0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.25 0.25 0.25 0.25]",163305.925,109.92414967319512,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
200,1000,0.0001,AllGood,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65]",19227.357,301.535709542918,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
200,1000,0.0001,HalfGood,Environment_Gaussian,SEE_recycle,1.0,"[0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65 0.65
 0.65 0.65 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
 0.5  0.5  0.5  0.5 ]",21281.194,294.8968024349603,"delta_k_ = lambda x: 1 / 3**x
","beta_k_ = lambda x: 2**x / 4
","alpha_k_ = lambda x: 5**x
",100000000.0,0.0,1000.0
